=== Testing mode: linear ===

Instance 1:
Nodes: 90, Edges: 360, Exec Time: 24.3033 sec,  PoA: 1.01, Equilibrium Iterations: 8, Social Optimality Iterations: 9
Nodes: 100, Edges: 400, Exec Time: 26.8712 sec,  PoA: 1.01, Equilibrium Iterations: 7, Social Optimality Iterations: 8

Instance 8:
Nodes: 10, Edges: 40, Exec Time: 0.2264 sec,  PoA: 1.003, Equilibrium Iterations: 6, Social Optimality Iterations: 6
Nodes: 20, Edges: 80, Exec Time: 0.7790 sec,  PoA: 1.003, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 30, Edges: 120, Exec Time: 1.8056 sec,  PoA: 1.006, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 40, Edges: 160, Exec Time: 3.5358 sec,  PoA: 1.012, Equilibrium Iterations: 8, Social Optimality Iterations: 9
Nodes: 50, Edges: 200, Exec Time: 5.1899 sec,  PoA: 1.005, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 60, Edges: 240, Exec Time: 8.2615 sec,  PoA: 1.016, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 70, Edges: 280, Exec Time: 15.2795 sec,  PoA: 1.013, Equilibrium Iterations: 8, Social Optimality Iterations: 11
Nodes: 80, Edges: 320, Exec Time: 20.3502 sec,  PoA: 1.009, Equilibrium Iterations: 8, Social Optimality Iterations: 11
Nodes: 90, Edges: 360, Exec Time: 24.4609 sec,  PoA: 1.004, Equilibrium Iterations: 7, Social Optimality Iterations: 12
Nodes: 100, Edges: 400, Exec Time: 28.0736 sec,  PoA: 1.011, Equilibrium Iterations: 8, Social Optimality Iterations: 9

Instance 9:
Nodes: 10, Edges: 40, Exec Time: 0.3908 sec,  PoA: 1.003, Equilibrium Iterations: 7, Social Optimality Iterations: 9
Nodes: 20, Edges: 80, Exec Time: 1.0337 sec,  PoA: 1.011, Equilibrium Iterations: 7, Social Optimality Iterations: 14
Nodes: 30, Edges: 120, Exec Time: 2.0477 sec,  PoA: 1.003, Equilibrium Iterations: 8, Social Optimality Iterations: 10
Nodes: 40, Edges: 160, Exec Time: 3.0508 sec,  PoA: 1.011, Equilibrium Iterations: 7, Social Optimality Iterations: 8
Nodes: 50, Edges: 200, Exec Time: 5.9515 sec,  PoA: 1.005, Equilibrium Iterations: 8, Social Optimality Iterations: 11
Nodes: 60, Edges: 240, Exec Time: 9.7108 sec,  PoA: 1.011, Equilibrium Iterations: 8, Social Optimality Iterations: 13
Nodes: 70, Edges: 280, Exec Time: 12.5260 sec,  PoA: 1.005, Equilibrium Iterations: 7, Social Optimality Iterations: 11
Nodes: 80, Edges: 320, Exec Time: 19.1410 sec,  PoA: 1.017, Equilibrium Iterations: 8, Social Optimality Iterations: 12
Nodes: 90, Edges: 360, Exec Time: 22.3955 sec,  PoA: 1.007, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 100, Edges: 400, Exec Time: 5.9087 sec,  PoA: -1, Equilibrium Iterations: None, Social Optimality Iterations: None

Instance 10:
Nodes: 10, Edges: 40, Exec Time: 0.4745 sec,  PoA: 1.002, Equilibrium Iterations: 8, Social Optimality Iterations: 10
Nodes: 20, Edges: 80, Exec Time: 1.2758 sec,  PoA: 1.006, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 30, Edges: 120, Exec Time: 2.2341 sec,  PoA: 1.004, Equilibrium Iterations: 7, Social Optimality Iterations: 8
Nodes: 40, Edges: 160, Exec Time: 4.5521 sec,  PoA: -1, Equilibrium Iterations: None, Social Optimality Iterations: None
Nodes: 50, Edges: 200, Exec Time: 6.7144 sec,  PoA: 1.008, Equilibrium Iterations: 8, Social Optimality Iterations: 10
Nodes: 60, Edges: 240, Exec Time: 10.5043 sec,  PoA: 1.013, Equilibrium Iterations: 8, Social Optimality Iterations: 11
Nodes: 70, Edges: 280, Exec Time: 15.2778 sec,  PoA: 1.016, Equilibrium Iterations: 8, Social Optimality Iterations: 13
Nodes: 80, Edges: 320, Exec Time: 16.2159 sec,  PoA: 1.014, Equilibrium Iterations: 8, Social Optimality Iterations: 9
Nodes: 90, Edges: 360, Exec Time: 24.2785 sec,  PoA: 1.006, Equilibrium Iterations: 8, Social Optimality Iterations: 12
